date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:34:03	14384/14384	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9afc6-3830%22	https://demo.bootstrapdash.com/majestic-free/template/pages/charts/chartjs.html	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/pages/charts/chartjs.html	(from https://demo.bootstrapdash.com/majestic-free/template/index.html)
21:34:03	39306/39306	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9afc6-998a%22	https://demo.bootstrapdash.com/majestic-free/template/pages/tables/basic-table.html	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/pages/tables/basic-table.html	(from https://demo.bootstrapdash.com/majestic-free/template/index.html)
21:34:04	286571/286571	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9afc6-45f6b%22	https://demo.bootstrapdash.com/majestic-free/template/pages/icons/mdi.html	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/pages/icons/mdi.html	(from https://demo.bootstrapdash.com/majestic-free/template/index.html)
21:34:04	3268/3268	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9afc6-cc4%22	https://demo.bootstrapdash.com/majestic-free/template/pages/samples/login.html	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/pages/samples/login.html	(from https://demo.bootstrapdash.com/majestic-free/template/index.html)
21:34:04	4596/4596	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9afc6-11f4%22	https://demo.bootstrapdash.com/majestic-free/template/pages/samples/login-2.html	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/pages/samples/login-2.html	(from https://demo.bootstrapdash.com/majestic-free/template/index.html)
21:34:04	3573/3573	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9afc6-df5%22	https://demo.bootstrapdash.com/majestic-free/template/pages/samples/register.html	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/pages/samples/register.html	(from https://demo.bootstrapdash.com/majestic-free/template/index.html)
21:34:05	5074/5074	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9afc6-13d2%22	https://demo.bootstrapdash.com/majestic-free/template/pages/samples/register-2.html	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/pages/samples/register-2.html	(from https://demo.bootstrapdash.com/majestic-free/template/index.html)
21:34:05	2257/2257	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9afc6-8d1%22	https://demo.bootstrapdash.com/majestic-free/template/pages/samples/lock-screen.html	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/pages/samples/lock-screen.html	(from https://demo.bootstrapdash.com/majestic-free/template/index.html)
21:34:05	8723/8723	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9afc6-2213%22	https://demo.bootstrapdash.com/majestic-free/template/documentation/documentation.html	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/documentation/documentation.html	(from https://demo.bootstrapdash.com/majestic-free/template/index.html)
21:34:06	187201/187201	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264a9afc6-2db41%22	https://demo.bootstrapdash.com/majestic-free/template/vendors/base/vendor.bundle.base.js	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/vendors/base/vendor.bundle.base.js	(from https://demo.bootstrapdash.com/majestic-free/template/index.html)
21:34:06	173077/173077	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264a9afc6-2a415%22	https://demo.bootstrapdash.com/majestic-free/template/vendors/chart.js/Chart.min.js	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/vendors/chart.js/Chart.min.js	(from https://demo.bootstrapdash.com/majestic-free/template/index.html)
21:34:07	447929/447929	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264a9afc6-6d5b9%22	https://demo.bootstrapdash.com/majestic-free/template/vendors/datatables.net/jquery.dataTables.js	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/vendors/datatables.net/jquery.dataTables.js	(from https://demo.bootstrapdash.com/majestic-free/template/index.html)
